Stars,Title,Entry ID,Entry Name,Date Added,Date Modified,PDB ID,PDB CLASSIFICATION,PDB format version,Source Path,Source File,Source File Index,entry id backup,prepared,prepared with version,assigned bond orders,added hydrogens,treated metals,created disulfur,deleted far waters,ran protassign,Potential Energy-OPLS 2005,RMS Derivative-OPLS 2005,Max Derivative-OPLS 2005,Stretch Energy-OPLS 2005,Bend Energy-OPLS 2005,LJ-14 Energy-OPLS 2005,El-14 Energy-OPLS 2005,Van der Waals Energy-OPLS 2005,Electrostatic Energy-OPLS 2005,Dihedral Energy-OPLS 2005,target temperature,ran impref,ID,NAME,DEFINITION,STAR,SYNONYM,IUPAC_NAME,FORMULA,MASS,MONOISOTOPIC_MASS,CHARGE,SMILES,INCHI,INCHIKEY,CAS_REGISTRY_NUMBER,KEGG_COMPOUND_ACCESSION,KNAPSACK_ACCESSION,AGRICOLA_CITATION,PUBMED_CITATION,chiral flag,version,Chirality 1,Chirality 2,Chirality 3,ct enhanced stereo status,SECONDARY_ID,INN,REAXYS_REGISTRY_NUMBER,CHEMIDPLUS,DRUGBANK_ACCESSION,KEGG_DRUG_ACCESSION,PDBECHEM_ACCESSION,PUBMED_CITATION-1,Chirality 4,Chirality 5,Chirality 6,Chirality 7,Chirality 8,Chirality 9,Chirality 10,Chirality 11,Chirality 12,Chirality 13,Chirality 14,Chirality 15,Chirality 16,Chirality 17,BEILSTEIN_REGISTRY_NUMBER,HMDB_ACCESSION,NIST_CHEMISTRY_WEBBOOK,WIKIPEDIA_ACCESSION,LINCS_ACCESSION,METACYC_ACCESSION,BRAND_NAME,PESTICIDES_ACCESSION,AtomNumChirality 1,PUBMED_CENTRAL_CITATION,source file,source file index,mmshare version,flags,input,cmdline,tautomer probability,Ionization Penalty,Ionization Penalty Charging,Ionization Penalty Neutral,State Penalty,Charging Adjusted Penalty,Tot Q,Tot abs Q,EZ 1,EZ 2,Force Field,Energy,Chiralities Consistent,Variant,Job Name,Chemistry Notes,EZ 3,EZ 4,EZ 5,EZ 6,EZ 7,EZ 8,SiteScore,size,Dscore,volume,exposure,enclosure,contact,phobic,philic,balance,don/acc,residues,residues asl,grid version,gridbox xcent,gridbox ycent,gridbox zcent,gridbox xrange,gridbox yrange,gridbox zrange,gridbox ligxrange,gridbox ligyrange,gridbox ligzrange,receptor,glide gridfile,glide lignum,glide rotatable bonds,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide metal,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy,glide einternal,glide confnum,glide posenum,glide eff state penalty
,OS01g0165000,1,OS01g0165000.1,07-12-2017 13:25,07-12-2017 13:25,,tein,3,/home/biotech03/Desktop/Schrodinger/Varun S/meghana n/protein struct/OS01g0165000,OS01g0165000.pdb,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OS01g0165000 - preprocessed,2,OS01g0165000.1,07-12-2017 13:25,07-12-2017 13:25,,tein,3,/home/biotech03/Desktop/Schrodinger/Varun S/meghana n/protein struct/OS01g0165000,OS01g0165000.pdb,1,1,TRUE,2017-3,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OS01g0165000 - hbond-opt,3,OS01g0165000.1,07-12-2017 13:26,07-12-2017 13:26,,tein,3,/home/biotech03/Desktop/Schrodinger/Varun S/meghana n/protein struct/OS01g0165000,OS01g0165000.pdb,1,2,TRUE,2017-3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OS01g0165000 - minimized,4,OS01g0165000.1,07-12-2017 13:28,07-12-2017 13:33,,tein,3,/home/biotech03/Desktop/Schrodinger/Varun S/meghana n/protein struct/OS01g0165000,OS01g0165000.pdb,1,3,TRUE,2017-3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,287.802,0.079,1.51,117.325,610.115,1183.347,379.194,-1696.112,-1522.586,1089.991,298,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ChEBI_756,5,ChEBI_756.1,07-12-2017 13:28,07-12-2017 13:28,,,,/home/biotech03/Desktop/Schrodinger/organic heterobicyclic compound sdf,ChEBI_756.sdf,1,,,,,,,,,,,,,,,,,,,,,,CHEBI:756,14-dihydroxycornestin,"A cyclic dicarboxylic anhydride that is 5,6,7,8,9,10-hexahydro-1H-cyclonona[c]furan-1,3(4H)-dione substituted by an ethylidene group at position 9, hydroxy groups at position 5 and 8, a propyl group at position 4 and an oxo group at position 6.",3,Cornexistin,"(4R,5S,8S,9Z)-9-ethylidene-5,8-dihydroxy-4-propyl-4,5,7,8,9,10-hexahydro-1H-cyclonona[c]furan-1,3,6-trione",C16H20O6,308.326,308.126,0,CCC[C@H]1[C@H](O)C(=O)C[C@H](O)\C(CC2=C1C(=O)OC2=O)=C/C,"InChI=1S/C16H20O6/c1-3-5-9-13-10(15(20)22-16(13)21)6-8(4-2)11(17)7-12(18)14(9)19/h4,9,11,14,17,19H,3,5-7H2,1-2H3/b8-4-/t9-,11+,14+/m1/s1",ILMHTGUGRLGMCR-LRIVTRFWSA-N,123068-35-9,C08483,C00001306,IND20495852,1955388,TRUE,0,3_R_7_1_8,7_S_14_13_3,16_S_21_11_18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ChEBI_2790,6,ChEBI_2790.1,07-12-2017 13:28,07-12-2017 13:28,,,,/home/biotech03/Desktop/Schrodinger/organic heterobicyclic compound sdf,ChEBI_2790.sdf,1,,,,,,,,,,,,,,,,,,,,,,CHEBI:2790,apramycin,"An aminoglycoside that is 2-deoxystreptamine that is substituted on the oxygen at position 4 by an (8R)-2-amino-8-O-(4-amino-4-deoxy-alpha-D-glucopyranosyl)-2,3,7-trideoxy-7-(methylamino)-D-glycero-alpha-D-allo-octodialdo-1,5:8,4-dipyranos-1-yl) group.",3,"4-O-(3alpha-amino-6alpha-((4-amino-4-deoxy-alpha-D-glucopyranosyl)oxy)-2,3,4,5abeta,6,7,8,8aalpha-octahydro-8beta-hydroxy-7beta-(methylamino)pyrano(3,2-b)pyran-2alpha-yl)-2-deoxy-D-streptamine; 4-O-((8R)-2-amino-8-O-(4-amino-4-deoxy-alpha-D-glucopyranosyl)-2,3,7-trideoxy-7-(methylamino)-D-glycero-alpha-D-allo-octodialdo-1,5:8,4-dipyranos-1-yl)-2-deoxy-D-streptamine; nebramycin II; nebramycin factor 2","(2R,3S,4R,4aR,6S,7R,8aS)-7-amino-6-{[(1R,2R,3S,4R,6S)-4,6-diamino-2,3-dihydroxycyclohexyl]oxy}-4-hydroxy-3-(methylamino)octahydropyrano[3,2-b]pyran-2-yl 4-amino-4-deoxy-alpha-D-glucopyranoside",C21H41N5O11,539.577,539.28,0,[H][C@]12C[C@@H](N)[C@@H](O[C@@H]3[C@@H](N)C[C@@H](N)[C@H](O)[C@H]3O)O[C@]1([H])[C@H](O)[C@H](NC)[C@@H](O[C@H]1O[C@H](CO)[C@@H](N)[C@H](O)[C@H]1O)O2,"InChI=1S/C21H41N5O11/c1-26-11-14(30)18-8(33-20(11)37-21-16(32)13(29)10(25)9(4-27)34-21)3-7(24)19(36-18)35-17-6(23)2-5(22)12(28)15(17)31/h5-21,26-32H,2-4,22-25H2,1H3/t5-,6+,7-,8+,9-,10-,11+,12+,13+,14-,15-,16-,17-,18+,19+,20-,21-/m1/s1",XZNUGFQTQHRASN-XQENGBIVSA-N,37321-09-8,C01555,,,,TRUE,0,2_S_1_7_3,3_R_8_2_4,5_S_10_6_4,0,CHEBI:40708,apramycine; apramycin; apramicina; apramycinum,4610404,37321-09-8,DB04626,D02322,AM2,1249675; 340441; 690031; 932851,6_R_11_7_5,7_R_9_6_2,12_S_13_11_17,14_R_13_15_19_38,15_S_22_14_16_39,17_R_18_12_16,19_R_25_14_20,20_S_24_21_19,21_R_23_22_20,27_R_33_28_32,28_R_23_29_27,30_S_29_36_31,31_S_34_30_32,32_S_35_27_31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ChEBI_2866,7,ChEBI_2866.1,07-12-2017 13:28,07-12-2017 13:28,,,,/home/biotech03/Desktop/Schrodinger/organic heterobicyclic compound sdf,ChEBI_2866.sdf,1,,,,,,,,,,,,,,,,,,,,,,CHEBI:2866,ascaridole,A p-menthane monoterpenoid that is p-menth-2-ene with a peroxy group across position 1 to 4.,3,"1-isopropyl-4-methyl-2,3-dioxabicyclo[2.2.2]oct-5-ene; 1,4-peroxy-p-menth-2-ene; 1,4-epidioxy-p-menth-2-ene; 1-methyl-4-(1-methylethyl)-2,3-dioxabicyclo[2.2.2]oct-5-ene; 1,4-peroxido-p-menthene-2","4-methyl-1-(propan-2-yl)-2,3-dioxabicyclo[2.2.2]oct-5-ene",C10H16O2,168.233,168.115,0,CC(C)C12CCC(C)(OO1)C=C2,"InChI=1S/C10H16O2/c1-8(2)10-6-4-9(3,5-7-10)11-12-10/h4,6,8H,5,7H2,1-3H3",MGYMHQJELJYRQS-UHFFFAOYSA-N,512-85-6,C09836,C00003027,,,FALSE,0,,,,0,,,121382,512-85-6,,,,24184772; 24645715,,,,,,,,,,,,,,,121382,HMDB35766,512-85-6,Ascaridole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ChEBI_5292,8,ChEBI_5292.1,07-12-2017 13:28,07-12-2017 13:28,,,,/home/biotech03/Desktop/Schrodinger/organic heterobicyclic compound sdf,ChEBI_5292.sdf,1,,,,,,,,,,,,,,,,,,,,,,CHEBI:5292,geldanamycin,An ansamycin consisting of a 19-membered macrocyle incorporating a benzoquinone ring and a lactam functionality. It shows antimicrobial activity against many Gram-positive and some Gram-negative bacteria.,3,,"(4E,6Z,8S,9S,10E,12S,13R,14S,16R)-13-hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",C29H40N2O9,560.636,560.273,0,CO[C@H]1C[C@H](C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C/[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O,"InChI=1S/C29H40N2O9/c1-15-11-19-25(34)20(14-21(32)27(19)39-7)31-28(35)16(2)9-8-10-22(37-5)26(40-29(30)36)18(4)13-17(3)24(33)23(12-15)38-6/h8-10,13-15,17,22-24,26,33H,11-12H2,1-7H3,(H2,30,36)(H,31,35)/b10-8-,16-9+,18-13+/t15-,17+,22+,23+,24-,26+/m1/s1",QTQAWLPCGQOSGP-KSRBKZBZSA-N,30562-34-6,C11222,C00018795,,,TRUE,0,11_S_15_24_9,14_S_17_10_36,17_R_31_18_14,0,CHEBI:42670,,14205884,30562-34-6,,,GDM,21983172; 21985437; 22050565; 22136518; 22138446; 22215907; 22277058; 22361388,18_S_32_17_25,24_S_34_11_28,29_R_25_16_37,,,,,,,,,,,,,,,Geldanamycin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ChEBI_5684,9,ChEBI_5684.1,07-12-2017 13:28,07-12-2017 13:28,,,,/home/biotech03/Desktop/Schrodinger/organic heterobicyclic compound sdf,ChEBI_5684.sdf,1,,,,,,,,,,,,,,,,,,,,,,CHEBI:5684,Heteratisine,,2,,,C22H33NO5,391.502,391.236,0,CCN1C[C@]2(C)CC[C@H](OC)[C@]34C1[C@H]([C@@H](O)[C@H]23)[C@@]1(O)CC[C@H]2C[C@@H]4[C@@H]1C(=O)O2,"InChI=1S/C22H33NO5/c1-4-23-10-20(2)7-6-13(27-3)22-12-9-11-5-8-21(26,14(12)19(25)28-11)15(18(22)23)16(24)17(20)22/h11-18,24,26H,4-10H2,1-3H3/t11-,12+,13-,14+,15-,16+,17+,18?,20-,21+,22-/m0/s1",YPSAOPXJHSESSR-AGBQGJAZSA-N,3328-84-5,C08686,C00001642,,,FALSE,0,1_S_5_2_4_3,3_R_1_8_9_29,4_R_11_1_10_30,0,,,,,,,,,5_S_13_1_12,6_R_14_11_2,8_S_17_14_3_31,10_R_15_4_19_20,11_R_21_4_6,14_S_24_8_6_23,18_S_26_9_28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ChEBI_6557,10,ChEBI_6557.1,07-12-2017 13:28,07-12-2017 13:28,,,,/home/biotech03/Desktop/Schrodinger/organic heterobicyclic compound sdf,ChEBI_6557.sdf,1,,,,,,,,,,,,,,,,,,,,,,CHEBI:6557,Luciduline,,2,,,C13H21NO,207.312,207.162,0,C[C@@H]1C[C@H]2CC(=O)[C@@H]3C[C@H]2[C@H](C1)N(C)C3,"InChI=1S/C13H21NO/c1-8-3-9-6-13(15)10-5-11(9)12(4-8)14(2)7-10/h8-12H,3-7H2,1-2H3/t8-,9+,10-,11-,12+/m1/s1",PISGDLOMGNKHKP-ROHXPCBUSA-N,21041-42-9,C09872,C00001942,,,TRUE,0,1_R_2_3_4_16,2_S_5_1_6_17,3_S_1_7_8,0,,,,,,,,,9_R_13_10_4,12_R_6_8_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
