SourceInteraction	Interaction	TargetInteraction	MutualRank	WeightedPCC
Os06g0252300	xx	Os02g0677700	2	0.764465
Os06g0252300	xx	Os06g0342500	2.449	0.747484
Os06g0252300	xx	Os11g0133600	3.464	0.726029
Os06g0252300	xx	Os04g0575400	4.899	0.704944
Os02g0677700	xx	Os11g0145500	3	0.753137
Os02g0677700	xx	Os04g0575400	3.464	0.713863
Os02g0677700	xx	Os05g0102200	4.243	0.656084
Os11g0145500	xx	Os03g0197700	2.828	0.727568
Os11g0145500	xx	Os01g0713700	3.464	0.708514
Os11g0145500	xx	Os01g0593100	3.742	0.679094
Os11g0145500	xx	Os05g0513300	4.472	0.709221
Os01g0713700	xx	Os03g0590700	2.449	0.698160
Os01g0713700	xx	Os05g0117600	2.828	0.681540
Os01g0713700	xx	Os06g0342600	4.899	0.594816
Os05g0513300	xx	Os05g0398100	2.449	0.736746
Os05g0513300	xx	Os01g0673300	3.873	0.693491
Os05g0513300	xx	Os03g0205400	4.69	0.650231
Os05g0102200	xx	Os11g0640600	2.449	0.710579
Os11g0640600	xx	Os11g0130100	2	0.738319
Os11g0640600	xx	Os02g0514700	2.828	0.704669
Os11g0640600	xx	Os02g0101600	3.464	0.670701
Os11g0640600	xx	Os06g0224700	4.472	0.689410
Os11g0640600	xx	Os06g0721600	4.69	0.660759
Os06g0342500	xx	Os11g0148700	3.873	0.738919
Os06g0342500	xx	Os05g0346100	4.899	0.697903
Os11g0148700	xx	Os02g0742100	2	0.763119
Os11g0148700	xx	Os12g0428600	2.449	0.756807
Os11g0148700	xx	Os01g0179500	4.243	0.701629
Os02g0742100	xx	Os10g0495300	2.449	0.755552
Os02g0742100	xx	Os06g0105900	2.828	0.750184
Os02g0742100	xx	Os02g0550000	3.162	0.749911
Os12g0428600	xx	Os06g0105600	3.742	0.668836
Os12g0428600	xx	Os06g0183800	4.583	0.715321
Os01g0179500	xx	Os02g0742000	3.464	0.692094
Os01g0179500	xx	Os03g0357800	4	0.693708
Os05g0346100	xx	Os02g0221500	2.449	0.696979
Os05g0346100	xx	Os03g0765800	2.828	0.691156
Os05g0346100	xx	Os11g0106400	4.243	0.674515
Os05g0346100	xx	Os01g0666800	4.472	0.678018
Os02g0221500	xx	Os01g0151100	3	0.646163
Os02g0221500	xx	Os02g0192100	3.742	0.610872
Os02g0221500	xx	Os03g0809300	5	0.627324
Os03g0765800	xx	Os03g0239200	4.899	0.661874
Os01g0666800	xx	Os11g0101200	3	0.685612
Os01g0666800	xx	Os04g0129500	3.464	0.702860
Os11g0133600	xx	Os12g0131000	2	0.933153
Os12g0131000	xx	Os05g0513300	2.449	0.742372
Os04g0575400	xx	Os11g0145500	2	0.820034
Os04g0575400	xx	Os03g0197700	3.873	0.703946
Os04g0575400	xx	Os02g0819900	4	0.668897
Os04g0575400	xx	Os01g0593100	4.583	0.677392
Os04g0575400	xx	Os06g0691100	4.899	0.681476
Os03g0197700	xx	Os07g0478600	4.472	0.640462
Os07g0478600	xx	Os04g0429500	4	0.657600
Os02g0819900	xx	Os09g0293500	2.828	0.634316
Os02g0819900	xx	Os10g0440500	4	0.585196
Os09g0293500	xx	Os07g0566200	4.243	0.606924
Os09g0293500	xx	Os05g0143800	4.899	0.626982
Os01g0593100	xx	Os01g0852900	3.162	0.657159
Os01g0593100	xx	Os10g0575000	4.243	0.652254
Os10g0575000	xx	Os02g0657600	3.464	0.631449
Os06g0691100	xx	Os04g0652500	2	0.735483
Os06g0691100	xx	Os03g0419100	4.899	0.637065
Os06g0691100	xx	Os05g0353600	5	0.646306
Os04g0652500	xx	Os12g0509800	3.742	0.667398
Os04g0652500	xx	Os06g0691000	3.873	0.702798
Os04g0652500	xx	Os02g0782200	5	0.672475
Os03g0419100	xx	Os03g0298900	3.162	0.653496
Os03g0745000	xx	Os04g0107900	4.472	0.658288
Os04g0107900	xx	Os03g0245800	3.873	0.671540
Os04g0107900	xx	Os05g0519700	4.243	0.692293
Os03g0245800	xx	Os05g0519700	4	0.709529
Os03g0245800	xx	Os03g0277300	4	0.689507
Os03g0245800	xx	Os11g0149200	4.243	0.668743
Os03g0245800	xx	Os01g0136100	4.472	0.650960
Os03g0245800	xx	Os04g0445100	4.899	0.658037
Os03g0277300	xx	Os01g0661500	3.464	0.674852
Os03g0277300	xx	Os02g0259900	3.873	0.703735
Os04g0445100	xx	Os11g0244200	2	0.718119
Os04g0445100	xx	Os11g0540100	4.899	0.562353
Os05g0519700	xx	Os08g0444400	2	0.752786
Os05g0519700	xx	Os02g0259900	3.162	0.745781
Os05g0519700	xx	Os03g0266300	3.464	0.748752
Os08g0444400	xx	Os08g0425800	4.899	0.701761
Os08g0444400	xx	Os07g0633200	4.899	0.743598
Os07g0633200	xx	Os06g0682900	3.464	0.782336
Os02g0259900	xx	Os01g0136000	4.69	0.652587
Os02g0259900	xx	Os01g0136200	4.899	0.649260
Os02g0259900	xx	Os03g0266300	4.899	0.708573
Os03g0266300	xx	Os02g0217900	2.828	0.762747
Os03g0266300	xx	Os06g0682900	3.873	0.752893
Os01g0867300
Os02g0766700	xx	Os01g0583100	2.449	0.746000
Os02g0766700	xx	Os09g0555500	2.828	0.717425
